Name,Description,Notes,Area,Cost per Hour
"Middletons, Level 26, Zone  1, South Tower AHAC",,"level:26, tenant:Middletons, zone:1",281.6,35
"Middletons, Level 26, Zone  2, South Tower AHAC",,"level:26, tenant:Middletons, zone:2",281.6,35
"Middletons, Level 26, Zone  3, South Tower AHAC",,"level:26, tenant:Middletons, zone:3",281.6,35
"Level 26, Zone  4, South Tower AHAC",,"level:26, tenant:, zone:4",0,35
"Regus, Level 27, Zone  1, South Tower AHAC",,"level:27, tenant:Regus, zone:1",249.7,35
"Regus, Level 27, Zone  2, South Tower AHAC",,"level:27, tenant:Regus, zone:2",249.7,35
"Regus, Level 27, Zone  3, South Tower AHAC",,"level:27, tenant:Regus, zone:3",249.7,35
"Regus, Level 27, Zone  4, South Tower AHAC",,"level:27, tenant:Regus, zone:4",249.7,35
"BDO, Level 28, Zone  1, South Tower AHAC",,"level:28, tenant:BDO, zone:1",234,35
"BDO, Level 28, Zone  2, South Tower AHAC",,"level:28, tenant:BDO, zone:2",234,35
"BDO, Level 28, Zone  3, South Tower AHAC",,"level:28, tenant:BDO, zone:3",234,35
"BDO, Level 28, Zone  4, South Tower AHAC",,"level:28, tenant:BDO, zone:4",234,35
"BDO, Level 29, Zone  1, South Tower AHAC",,"level:29, tenant:BDO, zone:1",234,35
"BDO, Level 29, Zone  2, South Tower AHAC",,"level:29, tenant:BDO, zone:2",234,35
"BDO, Level 29, Zone  3, South Tower AHAC",,"level:29, tenant:BDO, zone:3",234,35
"BDO, Level 29, Zone  4, South Tower AHAC",,"level:29, tenant:BDO, zone:4",234,35
"BDO, Level 30, Zone  1, South Tower AHAC",,"level:30, tenant:BDO, zone:1",234,35
"BDO, Level 30, Zone  2, South Tower AHAC",,"level:30, tenant:BDO, zone:2",234,35
"BDO, Level 30, Zone  3, South Tower AHAC",,"level:30, tenant:BDO, zone:3",234,35
"BDO, Level 30, Zone  4, South Tower AHAC",,"level:30, tenant:BDO, zone:4",234,35
"Monahan, Level 31, Zone  1, South Tower AHAC",,"level:31, tenant:Monahan, zone:1",234,35
"Monahan, Level 31, Zone  2, South Tower AHAC",,"level:31, tenant:Monahan, zone:2",234,35
"Monahan, Level 31, Zone  3, South Tower AHAC",,"level:31, tenant:Monahan, zone:3",234,35
"Monahan, Level 31, Zone  4, South Tower AHAC",,"level:31, tenant:Monahan, zone:4",234,35
"CBRE, Level 32, Zone  1, South Tower AHAC",,"level:32, tenant:CBRE, zone:1",234,35
"CBRE, Level 32, Zone  2, South Tower AHAC",,"level:32, tenant:CBRE, zone:2",234,35
"CBRE, Level 32, Zone  3, South Tower AHAC",,"level:32, tenant:CBRE, zone:3",234,35
"CBRE, Level 32, Zone  4, South Tower AHAC",,"level:32, tenant:CBRE, zone:4",234,35
"Level 33, Zone  1, South Tower AHAC",,"level:33, tenant:, zone:1",248.7,35
"Level 33, Zone  2, South Tower AHAC",,"level:33, tenant:, zone:2",248.7,35
"Level 33, Zone  3, South Tower AHAC",,"level:33, tenant:, zone:3",248.7,35
"Level 33, Zone  4, South Tower AHAC",,"level:33, tenant:, zone:4",248.7,35
"Perpetual, Level 34, Zone  1, South Tower AHAC",,"level:34, tenant:Perpetual, zone:1",249.2,35
"Perpetual, Level 34, Zone  2, South Tower AHAC",,"level:34, tenant:Perpetual, zone:2",249.2,35
"Perpetual, Level 34, Zone  3, South Tower AHAC",,"level:34, tenant:Perpetual, zone:3",249.2,35
"Perpetual, Level 34, Zone  4, South Tower AHAC",,"level:34, tenant:Perpetual, zone:4",249.2,35
"Perpetual, Level 35, Zone  1, South Tower AHAC",,"level:35, tenant:Perpetual, zone:1",248.2,35
"Perpetual, Level 35, Zone  2, South Tower AHAC",,"level:35, tenant:Perpetual, zone:2",248.2,35
"Perpetual, Level 35, Zone  3, South Tower AHAC",,"level:35, tenant:Perpetual, zone:3",248.2,35
"Perpetual, Level 35, Zone  4, South Tower AHAC",,"level:35, tenant:Perpetual, zone:4",248.2,35
"Perpetual, Level 36, Zone  1, South Tower AHAC",,"level:36, tenant:Perpetual, zone:1",233.25,35
"Perpetual, Level 36, Zone  2, South Tower AHAC",,"level:36, tenant:Perpetual, zone:2",233.25,35
"Perpetual, Level 36, Zone  3, South Tower AHAC",,"level:36, tenant:Perpetual, zone:3",233.25,35
"Perpetual, Level 36, Zone  4, South Tower AHAC",,"level:36, tenant:Perpetual, zone:4",233.25,35
"Equiset, Level 37, Zone  1, South Tower AHAC",,"level:37, tenant:Equiset, zone:1",253,35
"Equiset, Level 37, Zone  2, South Tower AHAC",,"level:37, tenant:Equiset, zone:2",252,35
"MDS Financial, Level 37, Zone  3, South Tower AHAC",,"level:37, tenant:MDS Financial, zone:3",375,35
"Level 37, Zone  4, South Tower AHAC",,"level:37, tenant:, zone:4",0,35
"Thomsons Lawers, Level 38, Zone  1, South Tower AHAC",,"level:38, tenant:Thomsons Lawers, zone:1",340,35
"Aust Global Training, Level 38, Zone  2, South Tower AHAC",,"level:38, tenant:Aust Global Training, zone:2",265,35
"Thomson Lawers, Level 38, Zone  3, South Tower AHAC",,"level:38, tenant:Thomson Lawers, zone:3",384,35
"Level 38, Zone  4, South Tower AHAC",,"level:38, tenant:, zone:4",0,35
"Thomsons Lawers, Level 39, Zone  1, South Tower AHAC",,"level:39, tenant:Thomsons Lawers, zone:1",955.2,35
"Level 39, Zone  2, South Tower AHAC",,"level:39, tenant:, zone:2",0,35
"Level 39, Zone  3, South Tower AHAC",,"level:39, tenant:, zone:3",0,35
"Level 39, Zone  4, South Tower AHAC",,"level:39, tenant:, zone:4",0,35
"Thomsons Lawers, Level 40, Zone  1, South Tower AHAC",,"level:40, tenant:Thomsons Lawers, zone:1",707,35
"??, Level 40, Zone  2, South Tower AHAC",,"level:40, tenant:??, zone:2",277,35
"Level 40, Zone  3, South Tower AHAC",,"level:40, tenant:, zone:3",0,35
"Level 40, Zone  4, South Tower AHAC",,"level:40, tenant:, zone:4",0,35
"Vacant, Level 40, Zone  5, South Tower AHAC",,"level:40, tenant:Vacant, zone:5",238.8,35
"Bank of Cyprus, Level 41, Zone  1, South Tower AHAC",,"level:41, tenant:Bank of Cyprus, zone:1",249.75,35
"Bank of Cyprus, Level 41, Zone  2, South Tower AHAC",,"level:41, tenant:Bank of Cyprus, zone:2",249.75,35
"Bank of Cyprus, Level 41, Zone  3, South Tower AHAC",,"level:41, tenant:Bank of Cyprus, zone:3",249.75,35
"Bank of Cyprus, Level 41, Zone  4, South Tower AHAC",,"level:41, tenant:Bank of Cyprus, zone:4",249.75,35
"Winston Turner, Level 42, Zone  1, South Tower AHAC",,"level:42, tenant:Winston Turner, zone:1",203.5,35
"Level 42, Zone  2, South Tower AHAC",,"level:42, tenant:, zone:2",0,35
"Nevett Ford, Level 42, Zone  3, South Tower AHAC",,"level:42, tenant:Nevett Ford, zone:3",593.8,35
"St Martins, Level 42, Zone  4, South Tower AHAC",,"level:42, tenant:St Martins, zone:4",162.3,35
"Vacant, Level 43, Zone  1, South Tower AHAC",,"level:43, tenant:Vacant, zone:1",250,35
"Vacant, Level 43, Zone  2, South Tower AHAC",,"level:43, tenant:Vacant, zone:2",250,35
"Vacant, Level 43, Zone  3, South Tower AHAC",,"level:43, tenant:Vacant, zone:3",250,35
"Vacant, Level 43, Zone  4, South Tower AHAC",,"level:43, tenant:Vacant, zone:4",250,35
"Southern Cross, Level 44, Zone  1, South Tower AHAC",,"level:44, tenant:Southern Cross, zone:1",312,35
"ATN, Level 44, Zone  2, South Tower AHAC",,"level:44, tenant:ATN, zone:2",179,35
"Cordiner King, Level 44, Zone  3, South Tower AHAC",,"level:44, tenant:Cordiner King, zone:3",231,35
"Cordiner King, Level 44, Zone  4, South Tower AHAC",,"level:44, tenant:Cordiner King, zone:4",231,35
"ASX, Level 45, Zone  1, South Tower AHAC",,"level:45, tenant:ASX, zone:1",222,35
"ASX, Level 45, Zone  2, South Tower AHAC",,"level:45, tenant:ASX, zone:2",222,35
"ASX, Level 45, Zone  3, South Tower AHAC",,"level:45, tenant:ASX, zone:3",222,35
"Wugang, Level 45, Zone  4, South Tower AHAC",,"level:45, tenant:Wugang, zone:4",297,35
"John McMullan, Level 46, Zone  1, South Tower AHAC",,"level:46, tenant:John McMullan, zone:1",272.7,35
"Stargate, Level 46, Zone  2, South Tower AHAC",,"level:46, tenant:Stargate, zone:2",334,35
"Enterprise, Level 46, Zone  3, South Tower AHAC",,"level:46, tenant:Enterprise, zone:3",253,35
"Enterprise, Level 46, Zone  4, South Tower AHAC",,"level:46, tenant:Enterprise, zone:4",102,35
"Alliance Bernstein, Level 47, Zone  1, South Tower AHAC",,"level:47, tenant:Alliance Bernstein, zone:1",494,35
"Visa International, Level 47, Zone  2, South Tower AHAC",,"level:47, tenant:Visa International, zone:2",210,35
"Vacant, Level 47, Zone  3, South Tower AHAC",,"level:47, tenant:Vacant, zone:3",252,35
"Vacant, Level 47, Zone  4, South Tower AHAC",,"level:47, tenant:Vacant, zone:4",0,35
"Alliance Bernstein, Level 48, Zone  1, South Tower AHAC",,"level:48, tenant:Alliance Bernstein, zone:1",250,35
"Alliance Bernstein, Level 48, Zone  2, South Tower AHAC",,"level:48, tenant:Alliance Bernstein, zone:2",250,35
"Alliance Bernstein, Level 48, Zone  3, South Tower AHAC",,"level:48, tenant:Alliance Bernstein, zone:3",250,35
"Alliance Bernstein, Level 48, Zone  4, South Tower AHAC",,"level:48, tenant:Alliance Bernstein, zone:4",250,35
"Liberty Mutual, Level 49, Zone  1, South Tower AHAC",,"level:49, tenant:Liberty Mutual, zone:1",529,35
"Level 49, Zone  2, South Tower AHAC",,"level:49, tenant:, zone:2",0,35
"Melb Port, Level 49, Zone  3, South Tower AHAC",,"level:49, tenant:Melb Port, zone:3",436.8,35
"Melb Port, Level 49, Zone  4, South Tower AHAC",,"level:49, tenant:Melb Port, zone:4",0,35
"Dakin Mayers, Level 50, Zone  1, South Tower AHAC",,"level:50, tenant:Dakin Mayers, zone:1",429,35
"Tellans, Level 50, Zone  2, South Tower AHAC",,"level:50, tenant:Tellans, zone:2",309.2,35
"Leighton, Level 50, Zone  3, South Tower AHAC",,"level:50, tenant:Leighton, zone:3",233,35
"Leighton, Level 50, Zone  4, South Tower AHAC",,"level:50, tenant:Leighton, zone:4",0,35
"Russell Reynolds, Level 51, Zone  1, South Tower AHAC",,"level:51, tenant:Russell Reynolds, zone:1",412.3,35
"Bilfinger, Level 51, Zone  2, South Tower AHAC",,"level:51, tenant:Bilfinger, zone:2",540.3,35
"Level 51, Zone  3, South Tower AHAC",,"level:51, tenant:, zone:3",0,35
"Level 51, Zone  4, South Tower AHAC",,"level:51, tenant:, zone:4",0,35
"ELAW, Level 52, Zone  1, South Tower AHAC",,"level:52, tenant:ELAW, zone:1",338,35
"Level 52, Zone  2, South Tower AHAC",,"level:52, tenant:, zone:2",0,35
"Brin & CO, Level 52, Zone  3, South Tower AHAC",,"level:52, tenant:Brin & CO, zone:3",630,35
"Brin & CO, Level 52, Zone  4, South Tower AHAC",,"level:52, tenant:Brin & CO, zone:4",0,35
"BOOZ & Co, Level 53, Zone  1, South Tower AHAC",,"level:53, tenant:BOOZ & Co, zone:1",1000,35
"Level 53, Zone  2, South Tower AHAC",,"level:53, tenant:, zone:2",0,35
"Level 53, Zone  3, South Tower AHAC",,"level:53, tenant:, zone:3",0,35
"Level 53, Zone  4, South Tower AHAC",,"level:53, tenant:, zone:4",0,35
"GSA, Level 54, Zone  1, South Tower AHAC",,"level:54, tenant:GSA, zone:1",654.5,35
"Ever Bright, Level 54, Zone  2, South Tower AHAC",,"level:54, tenant:Ever Bright, zone:2",268,35
"Level 54, Zone  3, South Tower AHAC",,"level:54, tenant:, zone:3",0,35
"Level 54, Zone  4, South Tower AHAC",,"level:54, tenant:, zone:4",0,35
Base Building Lighting,,"level:PLAZA, tenant:, zone:",,
Base Building Lighting,,"level:PLAZA, tenant:, zone:",,
Base Building Lighting,,"level:PLAZA, tenant:, zone:",,
