Name,Description,Notes,Area,Cost per Hour
"Telstra, Level 13, Zone  3, North Tower AHAC",,"level:13, tenant:Telstra, zone:3",204.1,35
"Telstra, Level 13, Zone  4, North Tower AHAC",,"level:13, tenant:Telstra, zone:4",204.1,35
"Telstra, Level 14, Zone  1, North Tower AHAC",,"level:14, tenant:Telstra, zone:1",201.2,35
"Telstra, Level 14, Zone  2, North Tower AHAC",,"level:14, tenant:Telstra, zone:2",201.2,35
"Telstra, Level 14, Zone  3, North Tower AHAC",,"level:14, tenant:Telstra, zone:3",201.2,35
"Telstra, Level 14, Zone  4, North Tower AHAC",,"level:14, tenant:Telstra, zone:4",201.2,35
"Telstra, Level 15, Zone  1, North Tower AHAC",,"level:15, tenant:Telstra, zone:1",219.5,35
"Telstra, Level 15, Zone  2, North Tower AHAC",,"level:15, tenant:Telstra, zone:2",219.5,35
"Telstra, Level 15, Zone  3, North Tower AHAC",,"level:15, tenant:Telstra, zone:3",219.5,35
"Telstra, Level 15, Zone  4, North Tower AHAC",,"level:15, tenant:Telstra, zone:4",219.5,35
"Minters, Level 16, Zone  1, North Tower AHAC",,"level:16, tenant:Minters, zone:1",292.1,35
"Minters, Level 16, Zone  2, North Tower AHAC",,"level:16, tenant:Minters, zone:2",292.1,35
"Minters, Level 16, Zone  3, North Tower AHAC",,"level:16, tenant:Minters, zone:3",292.1,35
"Level 16, Zone  4, North Tower AHAC",,"level:16, tenant:, zone:4",0,35
"Clarenden Lawyers Minters, Level 17, Zone  1, North Tower AHAC",,"level:17, tenant:Clarenden Lawyers Minters, zone:1",292.1,35
"Clarenden Lawyers Minters, Level 17, Zone  2, North Tower AHAC",,"level:17, tenant:Clarenden Lawyers Minters, zone:2",292.1,35
"Clarenden Lawyers Minters, Level 17, Zone  3, North Tower AHAC",,"level:17, tenant:Clarenden Lawyers Minters, zone:3",292.1,35
"Level 17, Zone  4, North Tower AHAC",,"level:17, tenant:, zone:4",0,35
"Minters, Level 18, Zone  1, North Tower AHAC",,"level:18, tenant:Minters, zone:1",292.1,35
"Minters, Level 18, Zone  2, North Tower AHAC",,"level:18, tenant:Minters, zone:2",292.1,35
"Minters, Level 18, Zone  3, North Tower AHAC",,"level:18, tenant:Minters, zone:3",292.1,35
"Level 18, Zone  4, North Tower AHAC",,"level:18, tenant:, zone:4",0,35
"Minters, Level 19, Zone  1, North Tower AHAC",,"level:19, tenant:Minters, zone:1",292.1,35
"Minters, Level 19, Zone  2, North Tower AHAC",,"level:19, tenant:Minters, zone:2",292.1,35
"Minters, Level 19, Zone  3, North Tower AHAC",,"level:19, tenant:Minters, zone:3",292.1,35
"Level 19, Zone  4, North Tower AHAC",,"level:19, tenant:, zone:4",0,35
"Minters, Level 20, Zone  1, North Tower AHAC",,"level:20, tenant:Minters, zone:1",292.1,35
"Minters, Level 20, Zone  2, North Tower AHAC",,"level:20, tenant:Minters, zone:2",292.1,35
"Minters, Level 20, Zone  3, North Tower AHAC",,"level:20, tenant:Minters, zone:3",292.1,35
"Level 20, Zone  4, North Tower AHAC",,"level:20, tenant:, zone:4",0,35
"Minters, Level 21, Zone  1, North Tower AHAC",,"level:21, tenant:Minters, zone:1",292.1,35
"Minters, Level 21, Zone  2, North Tower AHAC",,"level:21, tenant:Minters, zone:2",292.1,35
"Minters, Level 21, Zone  3, North Tower AHAC",,"level:21, tenant:Minters, zone:3",292.1,35
"Level 21, Zone  4, North Tower AHAC",,"level:21, tenant:, zone:4",0,35
"Minters, Level 22, Zone  1, North Tower AHAC",,"level:22, tenant:Minters, zone:1",292.1,35
"Minters, Level 22, Zone  2, North Tower AHAC",,"level:22, tenant:Minters, zone:2",292.1,35
"Minters, Level 22, Zone  3, North Tower AHAC",,"level:22, tenant:Minters, zone:3",292.1,35
"Level 22, Zone  4, North Tower AHAC",,"level:22, tenant:, zone:4",0,35
"Minters, Level 23, Zone  1, North Tower AHAC",,"level:23, tenant:Minters, zone:1",291.3,35
"Minters, Level 23, Zone  2, North Tower AHAC",,"level:23, tenant:Minters, zone:2",291.3,35
"Minters, Level 23, Zone  3, North Tower AHAC",,"level:23, tenant:Minters, zone:3",291.3,35
"Level 23, Zone  4, North Tower AHAC",,"level:23, tenant:, zone:4",0,35
"Middletons, Level 24, Zone  1, North Tower AHAC",,"level:24, tenant:Middletons, zone:1",281.1,35
"Middletons, Level 24, Zone  2, North Tower AHAC",,"level:24, tenant:Middletons, zone:2",281.1,35
"Middletons, Level 24, Zone  3, North Tower AHAC",,"level:24, tenant:Middletons, zone:3",281.1,35
"Level 24, Zone  4, North Tower AHAC",,"level:24, tenant:, zone:4",0,35
"Middletons, Level 25, Zone  1, North Tower AHAC",,"level:25, tenant:Middletons, zone:1",287.8,35
"Middletons, Level 25, Zone  2, North Tower AHAC",,"level:25, tenant:Middletons, zone:2",287.8,35
"Middletons, Level 25, Zone  3, North Tower AHAC",,"level:25, tenant:Middletons, zone:3",287.8,35
"Level 25, Zone  4, North Tower AHAC",,"level:25, tenant:, zone:4",0,35
"Middletons, Level 26, Zone  1, North Tower AHAC",,"level:26, tenant:Middletons, zone:1",281.6,35
"Middletons, Level 26, Zone  2, North Tower AHAC",,"level:26, tenant:Middletons, zone:2",281.6,35
"Middletons, Level 26, Zone  3, North Tower AHAC",,"level:26, tenant:Middletons, zone:3",281.6,35
"Level 26, Zone  4, North Tower AHAC",,"level:26, tenant:, zone:4",0,35
"Middletons, Level 27, Zone  1, North Tower AHAC",,"level:27, tenant:Middletons, zone:1",278.6,35
"Middletons, Level 27, Zone  2, North Tower AHAC",,"level:27, tenant:Middletons, zone:2",278.6,35
"Middletons, Level 27, Zone  3, North Tower AHAC",,"level:27, tenant:Middletons, zone:3",278.6,35
"Level 27, Zone  4, North Tower AHAC",,"level:27, tenant:, zone:4",0,35
